,id,descricao,estilo,codigo,valor,valorCaixa
0,1,Schneider Weisse - Cerveja de Trigo TAP 5 Hopfenweisse 500ml,Hopfenweisse Weissbier,(Código 610),54.9,54.9
1,2,Konig Pilsener - Kit Cerveja Koenig 1 Garrafa 500ml e 1 Copo,König Pilsener Bier Original,(Código 805),87.9,87.9
2,3,Schneider Weisse - Cerveja de Trigo TAP 7 Original 500ml,Original Weissbier,(Código 818),44.5,44.5
3,4,Schlenkerla - Cerveja Schlenkerla Rauchbier Weizen 500ml,Aecht Schlenkerla Rauchbier Weizen,(Código 803),49.9,49.9
4,5,Schneider Weisse - Kit Presente com 1 Garrafa 500ml e 1 Copo,Helles Weizenbier mit Flaschengärung,(Código 815),106.22,106.22
5,6,Schneider Weisse - Cerveja de Trigo TAP 3 Alkoholfrei 500ml,Alkoholfreies Weissbier,(Código 835),39.9,39.9
6,7,Schlenkerla - Cerveja Helles Schlenkerla Lager 500ml,Helles Schlenkerla Lagerbier,(Código 8681),43.9,43.9
7,8,Konig Pilsener - Cerveja Konig Pilsener 500ml,König Pilsener Bier,(Código 709),29.9,29.9
8,9,Bitburger - Cerveja Bitburger Pils Lata 568ml,Bitburger Pils,(Código 6661),22.9,22.9
9,10,Benediktiner - Cerveja Benediktiner Weissbier Lata 500ml,Benediktiner Weissbier,(Código 6671),19.9,19.9
10,11,Konig Pilsener - Cerveja Koenig Radler Grapefruit 500ml,Radler Grapefruit,(Código 7094),26.9,26.9
11,12,Schneider Weisse - Cerveja de Trigo TAP 5 Hopfenweisse 500ml,Hopfenweisse Weissbier,(Código 610),54.9,54.9
12,13,Konig Pilsener - Kit Cerveja Koenig 1 Garrafa 500ml e 1 Copo,König Pilsener Bier Original,(Código 805),87.9,87.9
13,14,Schneider Weisse - Cerveja de Trigo TAP 7 Original 500ml,Original Weissbier,(Código 818),44.5,44.5
14,15,Schlenkerla - Cerveja Schlenkerla Rauchbier Weizen 500ml,Aecht Schlenkerla Rauchbier Weizen,(Código 803),49.9,49.9
15,16,Schneider Weisse - Kit Presente com 1 Garrafa 500ml e 1 Copo,Helles Weizenbier mit Flaschengärung,(Código 815),106.22,106.22
16,17,Schneider Weisse - Cerveja de Trigo TAP 3 Alkoholfrei 500ml,Alkoholfreies Weissbier,(Código 835),39.9,39.9
17,18,Schlenkerla - Cerveja Helles Schlenkerla Lager 500ml,Helles Schlenkerla Lagerbier,(Código 8681),43.9,43.9
18,19,Konig Pilsener - Cerveja Konig Pilsener 500ml,König Pilsener Bier,(Código 709),29.9,29.9
19,20,Bitburger - Cerveja Bitburger Pils Lata 568ml,Bitburger Pils,(Código 6661),22.9,22.9
20,21,Benediktiner - Cerveja Benediktiner Weissbier Lata 500ml,Benediktiner Weissbier,(Código 6671),19.9,19.9
21,22,Konig Pilsener - Cerveja Koenig Radler Grapefruit 500ml,Radler Grapefruit,(Código 7094),26.9,26.9
22,23,Schneider Weisse - Cerveja de Trigo TAP 5 Hopfenweisse 500ml,Hopfenweisse Weissbier,(Código 610),54.9,54.9
23,24,Konig Pilsener - Kit Cerveja Koenig 1 Garrafa 500ml e 1 Copo,König Pilsener Bier Original,(Código 805),87.9,87.9
24,25,Schneider Weisse - Cerveja de Trigo TAP 7 Original 500ml,Original Weissbier,(Código 818),44.5,44.5
25,26,Schlenkerla - Cerveja Schlenkerla Rauchbier Weizen 500ml,Aecht Schlenkerla Rauchbier Weizen,(Código 803),49.9,49.9
26,27,Schneider Weisse - Kit Presente com 1 Garrafa 500ml e 1 Copo,Helles Weizenbier mit Flaschengärung,(Código 815),106.22,106.22
27,28,Schneider Weisse - Cerveja de Trigo TAP 3 Alkoholfrei 500ml,Alkoholfreies Weissbier,(Código 835),39.9,39.9
28,29,Schlenkerla - Cerveja Helles Schlenkerla Lager 500ml,Helles Schlenkerla Lagerbier,(Código 8681),43.9,43.9
29,30,Konig Pilsener - Cerveja Konig Pilsener 500ml,König Pilsener Bier,(Código 709),29.9,29.9
30,31,Bitburger - Cerveja Bitburger Pils Lata 568ml,Bitburger Pils,(Código 6661),22.9,22.9
31,32,Benediktiner - Cerveja Benediktiner Weissbier Lata 500ml,Benediktiner Weissbier,(Código 6671),19.9,19.9
32,33,Konig Pilsener - Cerveja Koenig Radler Grapefruit 500ml,Radler Grapefruit,(Código 7094),26.9,26.9
